08-10-2026 11:59:08 RAM 2901/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [3%@1344,3%@729,2%@729,5%@729,0%@729,2%@729] EMC_FREQ 2%@665 GR3D_FREQ 36%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.937C soc2@45.5C soc0@45.562C gpu@45.968C tj@45.968C soc1@45.375C VDD_IN 3674mW/3696mW VDD_CPU_GPU_CV 484mW/499mW VDD_SOC 1090mW/1091mW
08-10-2026 11:59:09 RAM 2903/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [2%@729,2%@729,1%@729,0%@729,1%@729,1%@729] EMC_FREQ 2%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.906C soc2@45.468C soc0@45.468C gpu@45.687C tj@45.906C soc1@45.468C VDD_IN 3674mW/3695mW VDD_CPU_GPU_CV 484mW/499mW VDD_SOC 1090mW/1091mW
08-10-2026 11:59:10 RAM 2903/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [4%@729,4%@729,1%@729,4%@729,3%@729,1%@729] EMC_FREQ 2%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.781C soc2@45.5C soc0@45.437C gpu@45.687C tj@45.781C soc1@45.625C VDD_IN 3715mW/3696mW VDD_CPU_GPU_CV 484mW/498mW VDD_SOC 1090mW/1091mW
08-10-2026 11:59:11 RAM 2902/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [1%@1344,1%@729,2%@729,2%@729,0%@729,0%@729] EMC_FREQ 2%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.812C soc2@45.531C soc0@45.437C gpu@45.687C tj@45.812C soc1@45.625C VDD_IN 3715mW/3696mW VDD_CPU_GPU_CV 524mW/499mW VDD_SOC 1090mW/1091mW
08-10-2026 11:59:12 RAM 2902/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [2%@1344,0%@1344,1%@1344,3%@1342,0%@729,0%@729] EMC_FREQ 2%@665 GR3D_FREQ 9%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.625C soc2@45.531C soc0@45.406C gpu@45.875C tj@45.875C soc1@45.468C VDD_IN 3674mW/3696mW VDD_CPU_GPU_CV 484mW/499mW VDD_SOC 1090mW/1091mW
08-10-2026 11:59:13 RAM 2902/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [2%@729,3%@729,0%@729,3%@729,0%@729,0%@729] EMC_FREQ 2%@665 GR3D_FREQ 14%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.937C soc2@45.5C soc0@45.375C gpu@45.625C tj@45.937C soc1@45.375C VDD_IN 3715mW/3696mW VDD_CPU_GPU_CV 484mW/498mW VDD_SOC 1090mW/1091mW
08-10-2026 11:59:14 RAM 2902/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,2%@729,0%@729,0%@729] EMC_FREQ 2%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.812C soc2@45.468C soc0@45.531C gpu@45.75C tj@45.812C soc1@45.375C VDD_IN 3634mW/3694mW VDD_CPU_GPU_CV 484mW/498mW VDD_SOC 1090mW/1091mW
08-10-2026 11:59:15 RAM 2901/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [2%@1344,1%@729,3%@729,2%@729,1%@729,4%@729] EMC_FREQ 2%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.687C soc2@45.468C soc0@45.437C gpu@45.593C tj@45.687C soc1@45.437C VDD_IN 3715mW/3695mW VDD_CPU_GPU_CV 484mW/497mW VDD_SOC 1090mW/1091mW
08-10-2026 11:59:16 RAM 2901/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1344,0%@729,2%@729,0%@729,0%@729,3%@729] EMC_FREQ 2%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.656C soc2@45.531C soc0@45.375C gpu@45.656C tj@45.656C soc1@45.656C VDD_IN 3674mW/3694mW VDD_CPU_GPU_CV 484mW/497mW VDD_SOC 1090mW/1091mW
08-10-2026 11:59:17 RAM 2901/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [1%@1344,0%@729,0%@729,2%@729,2%@729,2%@729] EMC_FREQ 2%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.968C soc2@45.437C soc0@45.625C gpu@45.625C tj@45.968C soc1@45.437C VDD_IN 3674mW/3694mW VDD_CPU_GPU_CV 484mW/497mW VDD_SOC 1090mW/1091mW
